Income,Kidhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumStorePurchases,NumWebVisitsMonth,Complain,WebPurchases,Age,Total_Spending,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow
36921.0,1,74,17,1,12,3,1,4,3,7,0,0,60,38,0,0,0,1,0,0,0,0
92859.0,0,46,962,61,921,52,61,20,12,2,0,1,33,2077,0,0,1,0,0,1,0,0
65104.0,0,4,738,0,232,13,20,50,7,7,0,0,49,1053,0,0,1,0,0,0,1,0
86111.0,0,73,399,28,756,36,40,126,10,2,0,1,63,1385,0,1,0,0,1,0,0,0
68352.0,0,47,614,16,132,43,33,33,9,6,0,1,51,871,0,0,0,1,0,1,0,0
41883.0,1,13,32,34,41,73,16,116,3,7,0,1,37,312,0,1,0,0,0,0,1,0
59809.0,0,36,598,16,141,32,41,49,6,8,0,0,49,877,0,1,0,0,1,0,0,0
23957.0,1,47,2,1,18,20,11,16,3,6,0,0,50,68,0,1,0,0,1,0,0,0
38547.0,1,49,6,1,10,0,1,4,2,8,1,0,44,22,0,1,0,0,0,0,1,0
35688.0,2,94,73,3,90,12,1,32,4,8,0,1,52,211,0,0,0,0,1,0,0,0
49605.0,0,65,42,16,29,12,20,8,4,3,0,0,59,127,0,0,1,0,1,0,0,0
59354.0,0,59,295,21,78,39,13,13,7,3,0,1,72,459,0,0,1,0,1,0,0,0
65747.0,0,96,346,17,48,23,13,13,6,6,0,1,56,460,0,1,0,0,1,0,0,0
46344.0,0,28,233,20,57,8,20,91,5,7,0,1,53,429,0,0,0,0,0,0,1,0
34176.0,1,12,5,7,24,19,14,20,4,6,0,0,37,89,0,1,0,0,0,1,0,0
61010.0,0,57,888,0,57,0,0,76,11,5,0,1,73,1021,0,0,0,1,0,0,1,0
69372.0,0,10,997,26,269,34,13,42,6,4,0,1,76,1381,0,1,0,0,0,0,1,0
49967.0,0,4,212,6,69,4,12,3,5,7,0,1,67,306,0,1,0,0,0,1,0,0
60199.0,1,49,8,1,7,2,0,0,3,4,0,0,47,18,0,1,0,0,0,1,0,0
55375.0,0,3,42,11,57,10,28,14,6,2,0,0,48,162,0,1,0,0,0,0,1,0
80317.0,0,64,536,11,387,149,91,57,10,1,0,0,70,1231,0,1,0,0,0,1,0,0
30523.0,2,0,5,0,3,0,0,5,2,7,0,0,67,13,0,0,1,0,0,1,0,0
70356.0,0,20,1349,16,249,43,16,33,9,6,0,1,80,1706,0,0,0,1,1,0,0,0
23228.0,1,91,53,3,49,7,4,5,4,8,0,0,41,121,0,1,0,0,1,0,0,0
74165.0,0,9,1001,12,240,16,12,12,10,2,0,1,50,1293,0,0,0,1,0,0,0,0
157243.0,0,98,20,2,1582,1,2,1,0,0,0,0,52,1608,0,0,0,1,1,0,0,0
43482.0,2,83,18,1,32,6,3,28,4,6,0,0,59,88,0,1,0,0,0,0,1,0
62551.0,0,27,125,16,98,134,21,27,4,3,0,1,72,421,0,1,0,0,0,0,0,0
52332.0,0,63,212,5,33,7,0,2,6,4,0,0,66,259,0,1,0,0,0,0,0,0
66951.0,0,46,277,162,305,173,76,124,7,1,0,0,37,1117,0,1,0,0,0,1,0,0
26091.0,1,84,15,10,19,8,17,20,3,5,0,0,68,89,0,1,0,0,0,0,1,0
33456.0,1,58,7,3,10,8,1,7,3,7,0,0,60,36,0,1,0,0,0,0,1,0
28718.0,1,78,12,4,6,11,8,16,3,8,0,0,43,57,0,1,0,0,1,0,0,0
50447.0,2,4,85,7,24,2,3,27,3,6,0,0,55,148,0,1,0,0,1,0,0,0
53537.0,1,17,81,0,6,0,0,6,3,5,0,0,66,93,0,0,0,1,0,0,1,0
52074.0,0,77,59,0,12,0,0,48,2,4,0,0,58,119,0,1,0,0,0,1,0,0
80427.0,0,56,1149,71,449,69,71,26,8,5,0,1,50,1835,0,0,0,1,1,0,0,0
83837.0,0,79,847,66,119,86,89,111,5,4,0,1,77,1318,0,0,0,1,1,0,0,0
38853.0,1,90,29,0,14,0,0,2,3,7,0,0,55,45,0,0,0,1,1,0,0,0
38285.0,2,96,2,0,5,2,0,1,3,2,0,0,66,10,0,1,0,0,0,0,1,0
51650.0,0,81,152,3,22,2,5,7,4,5,0,1,49,191,0,0,0,1,1,0,0,0
16248.0,1,77,12,11,10,3,12,9,3,6,0,0,37,57,0,0,0,0,1,0,0,0
66835.0,0,21,620,26,195,34,17,141,13,2,0,1,79,1033,0,0,1,0,1,0,0,0
30477.0,1,16,47,1,6,0,0,12,3,6,0,0,41,66,0,0,1,0,1,0,0,0
28249.0,0,80,1,9,7,2,14,10,3,6,0,0,64,43,1,0,0,0,1,0,0,0
25271.0,1,45,10,1,18,10,4,7,2,9,0,0,42,50,0,1,0,0,1,0,0,0
32303.0,0,63,35,0,2,0,0,2,4,5,0,0,55,39,0,0,0,1,0,1,0,0
61286.0,0,34,356,0,107,19,9,117,8,5,0,1,59,608,0,1,0,0,1,0,0,0
74068.0,0,14,783,30,537,140,76,15,9,2,0,1,49,1581,0,1,0,0,1,0,0,0
45759.0,1,13,42,1,18,3,0,4,3,7,0,0,61,68,0,0,0,1,1,0,0,0
24882.0,1,52,1,4,10,29,0,36,2,6,0,0,47,80,1,0,0,0,0,0,1,0
66973.0,0,98,466,22,432,147,113,102,12,3,0,1,36,1282,0,0,0,1,0,0,1,0
36640.0,1,99,15,6,8,7,4,25,2,5,1,0,125,65,0,0,0,0,0,0,0,0
38872.0,1,93,23,3,21,3,19,22,3,8,0,0,37,91,0,1,0,0,1,0,0,0
51148.0,1,38,235,6,45,8,9,12,6,6,0,1,52,315,0,1,0,0,1,0,0,0
31353.0,1,24,10,0,10,3,1,7,2,8,0,0,48,31,0,1,0,0,1,0,0,0
69661.0,0,80,656,16,106,32,16,8,12,3,0,1,45,834,0,0,1,0,1,0,0,0
80067.0,0,82,519,17,813,27,173,51,6,2,0,1,71,1600,0,1,0,0,1,0,0,0
86718.0,0,20,344,189,482,50,33,172,5,2,0,1,71,1270,0,1,0,0,1,0,0,0
46854.0,1,81,96,1,79,7,1,79,3,8,0,1,52,263,0,0,0,1,0,1,0,0
69142.0,0,50,448,4,34,6,4,39,7,5,0,1,73,535,0,1,0,0,0,0,0,0
75922.0,0,60,265,138,553,224,23,92,9,1,0,1,57,1295,0,1,0,0,0,1,0,0
63693.0,0,63,587,43,337,42,87,54,9,6,0,1,47,1150,0,1,0,0,0,0,0,0
102160.0,0,54,763,29,138,76,176,58,10,4,0,1,48,1240,0,0,0,1,0,0,1,0
40637.0,1,72,22,0,13,0,0,3,3,7,0,0,60,38,0,0,0,1,0,1,0,0
18890.0,0,5,6,4,1,7,2,15,2,6,0,0,41,35,0,0,1,0,0,1,0,0
29604.0,1,88,7,6,13,7,6,14,3,9,0,0,37,53,0,1,0,0,0,0,1,0
48721.0,1,50,81,18,113,47,13,21,5,6,0,1,62,293,0,0,1,0,0,0,0,0
44794.0,0,99,54,0,7,0,0,4,3,6,0,0,59,65,0,1,0,0,1,0,0,0
64497.0,0,17,1170,48,320,42,32,192,9,8,0,1,71,1804,0,1,0,0,0,0,0,0
46097.0,0,11,72,24,68,65,4,8,6,4,0,0,69,241,0,1,0,0,0,0,1,0
77972.0,0,18,613,22,319,33,102,12,9,1,0,1,71,1101,0,1,0,0,0,0,1,0
44377.0,1,70,224,0,30,0,0,10,5,8,0,1,57,264,0,0,0,1,1,0,0,0
46014.0,1,21,410,0,59,19,9,44,8,7,0,1,51,541,0,0,1,0,0,0,1,0
70951.0,0,66,239,10,554,254,87,54,9,1,0,0,40,1198,0,1,0,0,1,0,0,0
41443.0,1,79,171,7,171,25,19,89,5,8,0,1,48,482,0,1,0,0,1,0,0,0
52195.0,2,2,12,0,4,0,0,1,2,8,0,0,47,17,0,0,0,0,0,1,0,0
83790.0,0,81,1076,16,417,42,48,16,6,3,0,1,77,1615,0,0,1,0,1,0,0,0
44551.0,0,24,182,4,33,0,0,66,5,7,0,1,71,285,0,0,1,0,0,0,0,1
69508.0,1,48,824,32,162,42,32,43,11,6,0,1,45,1135,0,1,0,0,0,0,1,0
45204.0,1,93,30,11,25,29,1,18,4,3,0,0,37,114,0,0,0,0,0,0,1,0
72460.0,0,56,377,10,540,80,30,10,7,1,0,0,56,1047,0,1,0,0,1,0,0,0
77622.0,0,3,520,7,154,19,0,14,11,3,0,1,55,714,0,0,0,1,0,0,1,0
30732.0,1,44,155,1,25,0,1,3,4,8,0,1,45,185,0,0,0,1,1,0,0,0
63887.0,0,38,897,23,207,15,11,92,12,6,0,1,63,1245,0,1,0,0,0,0,0,0
42011.0,1,46,131,0,16,2,1,39,4,8,0,0,47,189,0,1,0,0,0,0,1,0
51369.0,0,84,297,7,79,0,11,182,4,8,0,1,49,576,0,1,0,0,0,0,1,0
51537.0,0,27,787,20,204,0,0,92,11,8,0,0,73,1103,0,1,0,0,0,0,0,0
79930.0,0,72,792,86,740,67,51,17,8,2,0,0,53,1753,0,0,0,1,1,0,0,0
34320.0,1,66,4,1,9,3,0,0,2,8,0,0,39,17,0,0,0,1,0,0,1,0
37070.0,1,30,231,7,137,4,15,39,8,7,0,1,59,433,0,1,0,0,0,1,0,0
81975.0,0,2,983,76,184,180,138,27,4,7,0,1,63,1588,0,0,0,0,0,0,0,0
38590.0,1,65,3,1,8,4,3,3,2,8,0,0,54,22,0,1,0,0,0,0,1,0
15033.0,0,37,0,4,5,6,0,4,3,3,0,0,74,19,0,1,0,0,0,1,0,0
62745.0,0,89,562,21,464,28,10,32,11,5,0,1,60,1117,0,0,0,1,1,0,0,0
22212.0,1,49,5,9,20,6,8,21,4,6,0,0,50,69,0,0,0,0,1,0,0,0
23661.0,1,46,18,0,4,0,0,1,3,7,0,0,43,23,0,0,1,0,0,0,1,0
79761.0,0,32,415,5,124,15,35,11,11,3,0,1,67,605,0,0,0,1,0,1,0,0
7500.0,1,54,5,3,10,12,7,20,3,7,0,0,52,57,0,1,0,0,0,1,0,0
60182.0,0,23,8,0,5,7,0,2,2,4,0,0,132,22,0,0,0,0,0,1,0,0
73455.0,0,98,901,61,757,186,163,20,10,3,0,1,57,2088,0,1,0,0,0,0,0,1
64961.0,0,97,382,114,276,75,124,38,4,3,0,1,67,1009,0,1,0,0,0,0,1,0
22804.0,1,75,14,1,7,2,1,1,2,9,0,0,54,26,0,1,0,0,0,1,0,0
73687.0,0,8,559,153,503,218,13,181,9,2,0,0,35,1627,0,1,0,0,1,0,0,0
61074.0,0,37,789,0,133,0,28,152,8,7,0,1,67,1102,0,1,0,0,1,0,0,0
31686.0,1,31,11,0,5,0,0,1,3,6,0,0,61,17,0,0,0,1,1,0,0,0
80134.0,1,40,1218,16,272,104,0,80,6,6,0,1,53,1690,0,1,0,0,1,0,0,0
75027.0,0,74,925,64,179,133,12,77,6,5,0,1,72,1390,0,1,0,0,1,0,0,0
67546.0,0,90,864,134,768,150,38,172,5,3,0,1,37,2126,0,0,0,1,1,0,0,0
65176.0,0,57,960,28,183,220,70,70,6,6,0,1,56,1531,0,0,1,0,0,0,1,0
31160.0,1,59,16,3,25,6,1,13,3,8,0,0,50,64,0,0,1,0,0,1,0,0
29938.0,1,52,3,3,7,0,2,11,3,6,0,0,40,26,0,1,0,0,0,1,0,0
102692.0,0,5,168,148,444,32,172,148,13,2,0,1,51,1112,0,1,0,0,0,0,0,0
26490.0,0,92,45,47,52,21,20,25,5,6,0,0,67,210,0,0,0,0,0,0,1,0
75702.0,1,77,650,28,353,45,42,30,11,8,0,1,58,1148,0,1,0,0,0,0,1,0
30899.0,1,35,24,0,8,0,0,1,3,6,0,0,51,33,0,0,0,1,0,1,0,0
63342.0,0,48,918,21,118,13,10,21,5,6,0,1,64,1101,0,0,0,1,0,0,1,0
45989.0,0,97,138,33,87,28,24,12,7,3,0,0,61,322,0,1,0,0,0,1,0,0
18701.0,1,95,12,4,2,10,6,10,4,5,0,0,61,44,0,1,0,0,0,1,0,0
40737.0,2,24,11,0,4,0,0,2,2,8,0,0,68,17,0,0,0,1,0,1,0,0
15287.0,1,60,1,2,8,4,3,13,2,7,0,0,46,31,0,1,0,0,0,0,0,0
69674.0,0,46,554,41,215,11,0,24,10,5,0,1,57,845,0,0,0,1,0,0,0,0
44159.0,1,85,167,2,62,24,13,7,6,5,0,1,55,275,0,0,1,0,1,0,0,0
37717.0,1,31,9,0,6,4,1,5,2,9,0,0,47,25,0,0,0,1,1,0,0,0
43776.0,1,9,177,2,71,3,2,20,4,8,0,1,73,275,0,0,1,0,0,0,1,0
38179.0,1,30,38,4,22,4,2,20,3,7,0,0,59,90,0,0,1,0,1,0,0,0
80124.0,0,47,483,84,398,205,84,241,8,1,0,0,62,1495,0,1,0,0,1,0,0,0
38097.0,1,70,77,2,35,0,1,69,2,7,0,0,55,184,0,0,0,1,1,0,0,0
72940.0,0,13,182,74,298,162,149,116,6,1,0,0,55,981,0,1,0,0,1,0,0,0
22070.0,1,11,10,7,19,8,2,21,2,6,0,0,55,67,0,1,0,0,0,0,1,0
69267.0,0,31,778,44,499,95,73,146,5,7,0,0,72,1635,0,1,0,0,0,1,0,0
31788.0,1,15,16,7,23,0,8,6,4,5,1,0,42,60,0,0,1,0,0,1,0,0
61905.0,0,2,167,0,43,6,2,13,4,5,0,1,50,231,0,0,0,1,0,0,1,0
29315.0,1,55,13,2,14,8,7,4,4,6,0,0,65,48,0,1,0,0,1,0,0,0
33378.0,1,38,33,6,40,3,7,10,4,7,0,0,62,99,0,1,0,0,0,0,0,0
66313.0,0,86,625,7,99,10,22,7,12,4,0,1,62,770,0,0,0,1,0,0,1,0
60714.0,0,56,216,162,224,101,92,162,10,5,0,1,69,957,0,1,0,0,0,1,0,0
77882.0,0,29,68,129,396,188,22,15,5,1,0,0,44,818,0,0,1,0,0,0,1,0
69867.0,0,30,196,0,512,33,130,54,8,1,0,0,39,925,0,0,0,1,0,1,0,0
